"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"SMD-SWITCH-TACTILE-SPST-NO(4P-D6.0MM)";"SW4-SMD-6.0X6.0X5.0MM";"K1, K2";"311020004";"";
"1";"10UF 6.3V";"CERAMIC-10UF-6.3V-20%-X5R(0603)";"C0603";"C1";"302010286";"";
"2";"220NF";"CERAMIC-220NF-16V-10%-X7R(0402)";"C0402";"C2, C3";"302010051";"";
"6";"330";"SMD-RES-330R-5%-1/8W(0805)";"R0805";"R1, R2, R3, R4, R5, R6";"301012196";"";
"1";"47K";"SMD-RES-47K-5%-1/10W(0603)";"R0603";"R10";"301010084";"";
"1";"4p-2.54";"DIP-BLACK-MALE-HEADER-VERT(4P-2.54)";"H4-2.54";"J1";"320020017";"";
"1";"BLP2032SM-GTR";"BLP2032SM-GTR";"BAT_BLP2032SM-GTR";"BT1";"CR2032 Holder";"";
"24";"GREEN-0805";"SMD-LED-CLEAR-GREEN(0805)";"LED-0805";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24";"304090057";"";
"24";"LSP10";"LSP10";"LSP10";"LSP1, LSP2, LSP3, LSP4, LSP5, LSP6, LSP7, LSP8, LSP9, LSP10, LSP11, LSP12, LSP13, LSP14, LSP15, LSP16, LSP17, LSP18, LSP19, LSP20, LSP21, LSP22, LSP23, LSP24";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"1";"MSP430G2553IRHB32R";"MSP430G2553IRHB32R";"IC_MSP430G2553IRHB32R";"U1";"";"";
