Designator,Mid X,Mid Y,Layer,Rotation
C1,27.94,73.41,Top,0.0
C2,43.43,12.70,Top,270.0
C3,27.94,77.98,Top,0.0
C4,20.83,12.45,Top,90.0
LED1, 6.35, 6.35,Top,135.0
LED2, 6.35,19.05,Top,135.0
LED3, 6.35,31.75,Top,135.0
LED4, 6.35,44.45,Top,135.0
LED5, 6.35,57.15,Top,135.0
LED6, 6.35,69.85,Top,135.0
LED7, 6.35,82.55,Top,135.0
LED8,19.05, 6.35,Top,135.0
LED9,19.05,19.05,Top,135.0
LED10,19.05,31.75,Top,135.0
LED11,19.05,44.45,Top,135.0
LED12,19.05,57.15,Top,135.0
LED13,19.05,69.85,Top,135.0
LED14,19.05,82.55,Top,135.0
LED15,31.75, 6.35,Top,135.0
LED16,31.75,19.05,Top,135.0
LED17,31.75,31.75,Top,135.0
LED18,31.75,44.45,Top,135.0
LED19,31.75,57.15,Top,135.0
LED20,31.75,69.85,Top,135.0
LED21,31.75,82.55,Top,135.0
LED22,44.45, 6.35,Top,135.0
LED23,44.45,19.05,Top,135.0
LED24,44.45,31.75,Top,135.0
LED25,44.45,44.45,Top,135.0
LED26,44.45,57.15,Top,135.0
LED27,44.45,69.85,Top,135.0
LED28,44.45,82.55,Top,135.0
LED29,57.15, 6.35,Top,135.0
LED30,57.15,19.05,Top,135.0
LED31,57.15,31.75,Top,135.0
LED32,57.15,44.45,Top,135.0
LED33,57.15,57.15,Top,135.0
LED34,57.15,69.85,Top,135.0
LED35,57.15,82.55,Top,135.0
MSP430,24.89,62.87,Top,270.0
R1,10.41, 6.60,Top,270.0
R2,10.41,19.30,Top,270.0
R3,10.41,32.00,Top,270.0
R4,10.41,44.70,Top,270.0
R5,10.41,57.66,Top,270.0
R6,10.41,67.06,Top,90.0
R7,10.41,79.76,Top,90.0
R10,14.61,83.19,Top,0.0
SW1,12.70,12.70,Top,180.0
SW2,50.80,12.70,Top,0.0
